transit_num	telesscope	observed_t0	t0_err_up	t0_err_lower
-1	TESS	2458597.06384731	0.00069900	0.00073076
0	TESS	2458604.02388295	0.00067619	0.00063051
1	TESS	2458610.98345787	0.00084423	0.00077412
2	TESS	2458617.94217040	0.00069551	0.00072134
32	Spitzer	2458826.72742000	0.00028000	0.00027000
105	TESS	2459334.76930652	0.00093280	0.00090430
106	TESS	2459341.72812213	0.00068670	0.00064996
107	TESS	2459348.68728650	0.00064710	0.00064296
108	TESS	2459355.64604825	0.00070015	0.00072817
154	SOAR	2459675.77843379	0.00256665	0.00272401
158	SOAR	2459703.61316354	0.00291047	0.00838013
201	JWST	2460002.88080000	0.00132000	0.00138000
207	TESS	2460044.63552745	0.00062221	0.00065913
208	TESS	2460051.59340700	0.00062455	0.00065585
209	TESS	2460058.55333994	0.00066801	0.00066967
210	TESS	2460065.51278258	0.00064284	0.00061399
256	SOAR	2460385.64881795	0.00335964	0.00341090
269	ASTEP	2460476.11900660	0.00131870	0.00134516
271	ASTEP	2460490.03919483	0.00154852	0.00156835
272	ASTEP	2460496.99763081	0.00167536	0.00164571
273	ASTEP	2460503.96397030	0.00094729	0.00091016
275	ASTEP	2460517.88021192	0.01866511	0.00740525
322	LCOGT	2460844.97145330	0.00185047	0.00184067